"major","minor","patch","date","datetime","time","type"
3,0,0,2013-04-03,2013-04-03 07:12:36,07:12:36,"major"
3,0,1,2013-05-16,2013-05-16 07:11:33,07:11:33,"patch"
3,0,2,2013-09-25,2013-09-25 07:11:09,07:11:09,"patch"
3,0,3,2014-03-06,2014-03-06 08:12:33,08:12:33,"patch"
3,1,0,2014-04-10,2014-04-10 07:11:10,07:11:10,"minor"
3,1,1,2014-07-10,2014-07-10 07:11:09,07:11:09,"patch"
3,1,2,2014-10-31,2014-10-31 08:11:32,08:11:32,"patch"
3,1,3,2015-03-09,2015-03-09 08:12:20,08:12:20,"patch"
3,2,0,2015-04-16,2015-04-16 07:13:33,07:13:33,"minor"
3,2,1,2015-06-18,2015-06-18 07:15:04,07:15:04,"patch"
3,2,2,2015-08-14,2015-08-14 07:13:18,07:13:18,"patch"
3,2,3,2015-12-10,2015-12-10 08:13:08,08:13:08,"patch"
3,2,4,2016-03-10,2016-03-10 08:15:45,08:15:45,"patch"
3,2,5,2016-04-14,2016-04-14 15:59:38,15:59:38,"patch"
3,3,0,2016-05-03,2016-05-03 07:13:28,07:13:28,"minor"
3,3,1,2016-06-21,2016-06-21 07:21:38,07:21:38,"patch"
3,3,2,2016-10-31,2016-10-31 08:13:15,08:13:15,"patch"
3,3,3,2017-03-06,2017-03-06 08:16:31,08:16:31,"patch"
3,4,0,2017-04-21,2017-04-21 07:14:45,07:14:45,"minor"
3,4,1,2017-06-30,2017-06-30 07:04:11,07:04:11,"patch"
